FileName,FileType,License,FileSize_Kb,SourceLink,SourceType,CreationDate,LastUpdate,Tables,Columns,ColumnsNumber,RowNumber
dailyActivity_merged,CSV,CCO: Public Domain,109,ttps://zenodo.org/record/53894#.X9oeh3Uzaao ,Second party data,2020-12-16,2020-12-16,dailyActivity_merged,"Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories ",15,941
sleepDay_merged,CSV,CCO: Public Domain,18,ttps://zenodo.org/record/53894#.X9oeh3Uzaao ,Second party data,2020-12-16,2020-12-16,sleepDay_merged,"Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed ",5,414
